id,name,country,latitude,longitude,status,last_eruption_year
210010,West Eifel Volcanic Field,Germany,50.17,6.85,Eruption Dated,8300 BCE
210020,Chaine des Puys,France,45.786,2.981,Eruption Dated,4040 BCE
210030,Olot Volcanic Field,Spain,42.17,2.53,Evidence Credible,Unknown
210040,Calatrava Volcanic Field,Spain,38.87,-4.02,Eruption Dated,3600 BCE
211004,Colli Albani,Italy,41.7569,12.7251,Evidence Uncertain,Unknown
211010,Campi Flegrei,Italy,40.827,14.139,Eruption Observed,1538 CE
211020,Vesuvius,Italy,40.821,14.426,Eruption Observed,1944 CE
211030,Ischia,Italy,40.73,13.897,Eruption Observed,1302 CE
211031,Palinuro,Italy,39.48,14.83,Eruption Dated,8040 BCE
211040,Stromboli,Italy,38.789,15.213,Eruption Observed,2025 CE
211041,Panarea,Italy,38.638,15.064,Evidence Uncertain,Unknown
211042,Lipari,Italy,38.49,14.933,Eruption Dated,1230 CE
211050,Vulcano,Italy,38.404,14.962,Eruption Observed,1890 CE
211060,Etna,Italy,37.748,14.999,Eruption Observed,2025 CE
211070,Campi Flegrei del Mar di Sicilia,Italy,37.1,12.7,Eruption Observed,1867 CE
211071,Pantelleria,Italy,36.77,12.02,Eruption Observed,1891 CE
211080,Marsili,Italy,39.284,14.399,Eruption Dated,1050 BCE
212020,Methana,Greece,37.6186,23.3331,Eruption Observed,258 BCE
212030,Milos,Greece,36.699,24.439,Eruption Dated,140 CE
212040,Santorini,Greece,36.404,25.396,Eruption Observed,1950 CE
212042,Kolumbo,Greece,36.524,25.483,Eruption Dated,1650 CE
212050,Nisyros,Greece,36.5888,27.1553,Eruption Observed,1888 CE
213000,Kula,Turkiye,38.58,28.52,Evidence Credible,Unknown
213002,Hasandag-Keciboyduran Volcanic Complex,Turkiye,38.13,34.17,Evidence Credible,Unknown
213010,Erciyes Volcanic Complex,Turkiye,38.531,35.447,Eruption Dated,6880 BCE
213011,Karaca Dag,Turkiye,37.67,39.83,Evidence Credible,Unknown
213020,Nemrut Dagi,Turkiye,38.654,42.229,Eruption Observed,1650 CE
213030,Tenduruk Dagi,Turkiye,39.356,43.874,Eruption Observed,1855 CE
213040,Ararat,Turkiye,39.7,44.3,Eruption Observed,1840 CE
214010,Elbrus,Russia,43.351,42.442,Eruption Dated,50 CE
214020,Kazbek,Georgia,42.697,44.5184,Eruption Dated,750 BCE
214050,Samsari Volcanic Center,Georgia,41.542,43.7,Evidence Uncertain,Unknown
214060,Aragats,Armenia,40.53,44.2,Evidence Credible,Unknown
214070,Ghegham Volcanic Ridge,Armenia,40.283,45,Eruption Dated,1900 BCE
214080,Vaiyots-Sar,Armenia,39.797,45.497,Eruption Dated,2000 BCE
