id,name,country,latitude,longitude,status,last_eruption_year,status_simple,last_eruption_year_num
210010,West Eifel Volcanic Field,Germany,50.17,6.85,Eruption Dated,8300 BCE,active,-8300.0
210020,Chaine des Puys,France,45.786,2.981,Eruption Dated,4040 BCE,active,-4040.0
210040,Calatrava Volcanic Field,Spain,38.87,-4.02,Eruption Dated,3600 BCE,active,-3600.0
211010,Campi Flegrei,Italy,40.827,14.139,Eruption Observed,1538 CE,active,1538.0
211020,Vesuvius,Italy,40.821,14.426,Eruption Observed,1944 CE,active,1944.0
211030,Ischia,Italy,40.73,13.897,Eruption Observed,1302 CE,active,1302.0
211031,Palinuro,Italy,39.48,14.83,Eruption Dated,8040 BCE,active,-8040.0
211040,Stromboli,Italy,38.789,15.213,Eruption Observed,2025 CE,active,2025.0
211042,Lipari,Italy,38.49,14.933,Eruption Dated,1230 CE,active,1230.0
211050,Vulcano,Italy,38.404,14.962,Eruption Observed,1890 CE,active,1890.0
211060,Etna,Italy,37.748,14.999,Eruption Observed,2025 CE,active,2025.0
211070,Campi Flegrei del Mar di Sicilia,Italy,37.1,12.7,Eruption Observed,1867 CE,active,1867.0
211071,Pantelleria,Italy,36.77,12.02,Eruption Observed,1891 CE,active,1891.0
211080,Marsili,Italy,39.284,14.399,Eruption Dated,1050 BCE,active,-1050.0
212020,Methana,Greece,37.6186,23.3331,Eruption Observed,258 BCE,active,-258.0
212030,Milos,Greece,36.699,24.439,Eruption Dated,140 CE,active,140.0
212040,Santorini,Greece,36.404,25.396,Eruption Observed,1950 CE,active,1950.0
212042,Kolumbo,Greece,36.524,25.483,Eruption Dated,1650 CE,active,1650.0
212050,Nisyros,Greece,36.5888,27.1553,Eruption Observed,1888 CE,active,1888.0
213010,Erciyes Volcanic Complex,Turkiye,38.531,35.447,Eruption Dated,6880 BCE,active,-6880.0
213020,Nemrut Dagi,Turkiye,38.654,42.229,Eruption Observed,1650 CE,active,1650.0
213030,Tenduruk Dagi,Turkiye,39.356,43.874,Eruption Observed,1855 CE,active,1855.0
213040,Ararat,Turkiye,39.7,44.3,Eruption Observed,1840 CE,active,1840.0
214010,Elbrus,Russia,43.351,42.442,Eruption Dated,50 CE,active,50.0
214020,Kazbek,Georgia,42.697,44.5184,Eruption Dated,750 BCE,active,-750.0
214070,Ghegham Volcanic Ridge,Armenia,40.283,45.0,Eruption Dated,1900 BCE,active,-1900.0
