volcano_name,latitude,longitude,error,status
Vesuvius,40.821,14.426,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Ararat,39.7,44.3,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Menengai,-0.2,36.07,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Tongariro,-39.157,175.632,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Ruapehu,-39.28,175.57,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Tangaroa,-36.321,178.028,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Late,-18.806,-174.65,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Lolobau,-4.9156,151.1617,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Sessagara Hills,-9.5542,149.1278,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Billy Mitchell,-6.0898,155.2254,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Bagana,-6.137,155.196,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Sorikmarapi,0.6834,99.5409,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Tangkuban Parahu,-6.77,107.6,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Sundoro,-7.3014,109.997,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Soputan,1.112,124.737,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Lokon-Empung,1.3644,124.7992,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Makaturing,7.644,124.317,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Ragang,7.691,124.507,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Cabalían,10.285,125.218,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Harunasan,36.477,138.851,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Rausudake,44.076,145.122,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Sashiusudake [Baransky],45.103,148.0148,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Kharimkotan,49.12,154.508,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Barkhatnaya Sopka,52.802,158.24,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
Koryaksky,53.321,158.712,Pre-computed data not found. Run export_dem_lulc.py first.,FAILED
